Aux out [V]	Aux in [V]	PDH out [a.u.]
-3.6548E-1	7.5841E-1	-1.2900E+2
-3.6466E-1	7.5987E-1	-8.3300E+2
-3.6383E-1	7.5841E-1	-6.1200E+2
-3.6289E-1	7.5938E-1	-5.1300E+2
-3.6207E-1	7.6108E-1	-7.0800E+2
-3.6124E-1	7.6157E-1	-6.9000E+1
-3.6042E-1	7.6230E-1	-2.0200E+2
-3.5960E-1	7.6011E-1	-3.8900E+2
-3.5866E-1	7.6230E-1	-4.2100E+2
-3.5783E-1	7.6133E-1	-2.7700E+2
-3.5701E-1	7.6254E-1	-1.0830E+3
-3.5619E-1	7.6133E-1	1.8300E+2
-3.5536E-1	7.6351E-1	-7.1400E+2
-3.5442E-1	7.6254E-1	-6.2300E+2
-3.5360E-1	7.6279E-1	-4.6100E+2
-3.5277E-1	7.6303E-1	-6.8800E+2
-3.5183E-1	7.6400E-1	-2.8600E+2
-3.5101E-1	7.6230E-1	-2.2400E+2
-3.5007E-1	7.6303E-1	-5.2700E+2
-3.4924E-1	7.6303E-1	-2.3400E+2
-3.4842E-1	7.6376E-1	-1.1100E+2
-3.4760E-1	7.6497E-1	-7.6900E+2
-3.4677E-1	7.6473E-1	-6.3300E+2
-3.4595E-1	7.6376E-1	-3.5000E+2
-3.4501E-1	7.6351E-1	-8.6800E+2
-3.4418E-1	7.6376E-1	-5.8900E+2
-3.4336E-1	7.6449E-1	3.0100E+2
-3.4254E-1	7.6570E-1	-5.2900E+2
-3.4171E-1	7.6546E-1	-3.3000E+1
-3.4077E-1	7.6521E-1	-3.1500E+2
-3.3995E-1	7.6546E-1	-1.8000E+1
-3.3913E-1	7.6473E-1	-8.3700E+2
-3.3830E-1	7.6497E-1	-5.8300E+2
-3.3736E-1	7.6497E-1	-2.9700E+2
-3.3654E-1	7.6619E-1	-1.9000E+2
-3.3560E-1	7.6546E-1	-2.1600E+2
-3.3477E-1	7.6570E-1	-7.0400E+2
-3.3395E-1	7.6424E-1	-2.4000E+1
-3.3312E-1	7.6473E-1	-6.3900E+2
-3.3218E-1	7.6521E-1	-3.5500E+2
-3.3136E-1	7.6594E-1	-2.3400E+2
-3.3054E-1	7.6619E-1	-1.3800E+2
-3.2971E-1	7.6594E-1	-1.4000E+2
-3.2889E-1	7.6546E-1	1.1000E+2
-3.2795E-1	7.6400E-1	-5.0600E+2
-3.2712E-1	7.6449E-1	-6.5500E+2
-3.2630E-1	7.6497E-1	-6.9800E+2
-3.2548E-1	7.6546E-1	-3.8300E+2
-3.2465E-1	7.6546E-1	-2.9700E+2
-3.2383E-1	7.6667E-1	-4.2800E+2
-3.2289E-1	7.6521E-1	-4.4700E+2
-3.2206E-1	7.6619E-1	-5.6300E+2
-3.2112E-1	7.6594E-1	-6.9900E+2
-3.2030E-1	7.6594E-1	-8.7000E+1
-3.1948E-1	7.6497E-1	-3.1300E+2
-3.1854E-1	7.6594E-1	-8.6500E+2
-3.1771E-1	7.6789E-1	1.4700E+2
-3.1689E-1	7.6619E-1	-4.5300E+2
-3.1606E-1	7.6546E-1	-3.5400E+2
-3.1524E-1	7.6594E-1	-1.0330E+3
-3.1430E-1	7.6594E-1	-1.6000E+2
-3.1348E-1	7.6546E-1	-3.4600E+2
-3.1265E-1	7.6740E-1	-5.0400E+2
-3.1183E-1	7.6692E-1	-5.2000E+1
-3.1101E-1	7.6594E-1	-6.1000E+2
-3.1006E-1	7.6594E-1	-6.3200E+2
-3.0924E-1	7.6692E-1	-7.4600E+2
