Aux out [V]	Aux in [V]	PDH out [a.u.]
4.3776E-1	6.5590E-1	4.0000E+1
4.3811E-1	6.5784E-1	-5.9700E+2
4.3834E-1	6.5565E-1	-5.1900E+2
4.3870E-1	6.5590E-1	-2.9500E+2
4.3893E-1	6.5614E-1	-2.1700E+2
4.3917E-1	6.5419E-1	-4.4400E+2
4.3952E-1	6.5468E-1	-8.8000E+1
4.3976E-1	6.5590E-1	-2.5300E+2
4.4011E-1	6.5371E-1	3.3100E+2
4.4035E-1	6.5541E-1	3.1700E+2
4.4058E-1	6.5225E-1	-1.9800E+2
4.4093E-1	6.5322E-1	-4.0000E+0
4.4117E-1	6.5201E-1	-2.6900E+2
4.4152E-1	6.5298E-1	3.6000E+1
4.4176E-1	6.5249E-1	5.8000E+1
4.4199E-1	6.5225E-1	7.1000E+1
4.4235E-1	6.5177E-1	-5.6600E+2
4.4258E-1	6.5104E-1	-1.7100E+2
4.4293E-1	6.5225E-1	7.9100E+2
4.4317E-1	6.5177E-1	-4.3400E+2
4.4340E-1	6.4958E-1	-3.5800E+2
4.4376E-1	6.5201E-1	-9.4000E+1
4.4399E-1	6.5055E-1	-3.7300E+2
4.4435E-1	6.5079E-1	4.5800E+2
4.4458E-1	6.5128E-1	-3.4100E+2
4.4482E-1	6.5104E-1	2.1200E+2
4.4517E-1	6.5055E-1	-3.7700E+2
4.4540E-1	6.5031E-1	-3.9700E+2
4.4564E-1	6.5055E-1	5.6000E+1
4.4599E-1	6.5128E-1	-5.6000E+2
4.4623E-1	6.4982E-1	-2.2800E+2
4.4658E-1	6.4885E-1	-9.7000E+1
4.4682E-1	6.4958E-1	-6.6000E+1
4.4717E-1	6.4885E-1	2.1100E+2
4.4740E-1	6.4861E-1	-3.6500E+2
4.4776E-1	6.5006E-1	-2.3200E+2
4.4799E-1	6.4909E-1	-6.4900E+2
4.4823E-1	6.5031E-1	1.2300E+2
4.4858E-1	6.5152E-1	-2.7300E+2
4.4882E-1	6.5128E-1	-7.2100E+2
4.4917E-1	6.5006E-1	4.0000E+1
4.4940E-1	6.4861E-1	-4.1200E+2
4.4964E-1	6.4958E-1	-6.4700E+2
4.4999E-1	6.5177E-1	-2.4600E+2
4.5023E-1	6.5201E-1	-1.0290E+3
4.5058E-1	6.5055E-1	-1.0560E+3
4.5082E-1	6.5249E-1	-6.1100E+2
4.5105E-1	6.5322E-1	-5.4200E+2
4.5140E-1	6.5371E-1	-8.7700E+2
4.5164E-1	6.5419E-1	-4.5200E+2
4.5199E-1	6.5419E-1	-1.1200E+2
4.5223E-1	6.5371E-1	2.4400E+2
4.5246E-1	6.5274E-1	2.0200E+2
4.5282E-1	6.5177E-1	5.0000E+2
4.5305E-1	6.5201E-1	3.4900E+2
4.5340E-1	6.4885E-1	6.4000E+1
4.5364E-1	6.5104E-1	2.2500E+2
4.5388E-1	6.4934E-1	-1.8000E+1
4.5423E-1	6.4788E-1	1.1100E+2
4.5446E-1	6.4836E-1	-8.1000E+1
4.5482E-1	6.4739E-1	-3.0100E+2
4.5505E-1	6.4739E-1	-4.0000E+1
4.5529E-1	6.4764E-1	-2.2900E+2
4.5564E-1	6.4715E-1	-4.1100E+2
4.5588E-1	6.4569E-1	-1.2610E+3
4.5623E-1	6.4764E-1	-3.7900E+2
4.5646E-1	6.4764E-1	-4.0800E+2
4.5670E-1	6.4836E-1	-8.6800E+2
4.5705E-1	6.4812E-1	-4.8800E+2
4.5729E-1	6.4836E-1	3.1500E+2
4.5764E-1	6.4739E-1	-6.1100E+2
4.5788E-1	6.4764E-1	-1.1400E+2
4.5811E-1	6.5006E-1	-4.2400E+2
4.5846E-1	6.4958E-1	-6.9900E+2
4.5870E-1	6.5152E-1	-4.1900E+2
4.5905E-1	6.5225E-1	-3.5100E+2
4.5929E-1	6.5322E-1	-7.2000E+2
4.5952E-1	6.5055E-1	-2.0000E+1
4.5988E-1	6.5225E-1	-3.2300E+2
4.6011E-1	6.5201E-1	-1.2500E+2
4.6035E-1	6.5298E-1	7.9000E+1
4.6070E-1	6.5298E-1	-2.7000E+2
4.6093E-1	6.4982E-1	-3.9000E+1
4.6129E-1	6.4958E-1	3.7500E+2
4.6152E-1	6.5031E-1	3.2900E+2
4.6176E-1	6.4885E-1	-4.8100E+2
4.6211E-1	6.4739E-1	4.3200E+2
4.6235E-1	6.4739E-1	4.7500E+2
4.6270E-1	6.4885E-1	-1.9900E+2
4.6293E-1	6.4593E-1	2.8500E+2
4.6317E-1	6.4715E-1	-3.2300E+2
4.6352E-1	6.4885E-1	-3.7000E+1
4.6376E-1	6.4836E-1	-3.3700E+2
4.6411E-1	6.4666E-1	-5.3900E+2
4.6435E-1	6.4666E-1	1.4900E+2
4.6458E-1	6.4885E-1	1.2400E+2
4.6494E-1	6.4618E-1	-2.0800E+2
4.6517E-1	6.4739E-1	-3.5600E+2
4.6552E-1	6.4788E-1	2.8400E+2
4.6576E-1	6.4691E-1	-7.8000E+2
4.6599E-1	6.4909E-1	-1.0200E+3
4.6635E-1	6.4958E-1	-5.5300E+2
4.6658E-1	6.4788E-1	-3.0900E+2
4.6694E-1	6.4764E-1	-8.5100E+2
4.6717E-1	6.5031E-1	-4.6800E+2
4.6752E-1	6.5152E-1	-1.3970E+3
4.6776E-1	6.5249E-1	-7.5400E+2
4.6811E-1	6.5638E-1	-7.9100E+2
4.6835E-1	6.5395E-1	-6.3800E+2
4.6858E-1	6.5468E-1	-1.0010E+3
4.6894E-1	6.5784E-1	-1.8800E+2
4.6917E-1	6.5687E-1	-4.3900E+2
4.6952E-1	6.5614E-1	7.0000E+1
4.6976E-1	6.5687E-1	-3.1600E+2
4.6999E-1	6.5565E-1	-1.9000E+1
4.7035E-1	6.5541E-1	-2.8000E+2
4.7058E-1	6.5419E-1	1.7700E+2
4.7094E-1	6.5274E-1	-2.3900E+2
4.7117E-1	6.5395E-1	9.0000E+0
4.7141E-1	6.5274E-1	-1.3300E+2
4.7176E-1	6.5249E-1	-6.8100E+2
4.7199E-1	6.5298E-1	1.2800E+2
4.7235E-1	6.5128E-1	-1.3800E+2
4.7258E-1	6.5177E-1	-3.7600E+2
4.7282E-1	6.5201E-1	-8.1400E+2
4.7317E-1	6.5201E-1	-5.9300E+2
4.7341E-1	6.5249E-1	-2.6100E+2
4.7376E-1	6.5347E-1	-7.8000E+2
4.7399E-1	6.5298E-1	-3.6800E+2
4.7423E-1	6.5371E-1	-9.9100E+2
4.7458E-1	6.5541E-1	-6.8300E+2
4.7482E-1	6.5614E-1	-7.1300E+2
4.7505E-1	6.5954E-1	-1.2030E+3
4.7541E-1	6.5881E-1	-1.1240E+3
4.7564E-1	6.6075E-1	-1.3840E+3
4.7599E-1	6.6270E-1	-1.0660E+3
4.7623E-1	6.6464E-1	-1.3180E+3
4.7647E-1	6.6610E-1	-7.1900E+2
4.7682E-1	6.6756E-1	-1.5140E+3
4.7705E-1	6.6877E-1	-2.4700E+2
4.7741E-1	6.6950E-1	-6.2000E+1
4.7764E-1	6.6731E-1	6.4900E+2
4.7788E-1	6.6634E-1	3.4600E+2
4.7823E-1	6.6488E-1	7.8900E+2
4.7847E-1	6.6440E-1	1.0180E+3
4.7882E-1	6.5954E-1	4.7700E+2
4.7905E-1	6.6027E-1	2.8200E+2
4.7929E-1	6.6075E-1	1.4100E+2
4.7964E-1	6.5832E-1	3.4000E+2
4.7988E-1	6.5541E-1	-3.5600E+2
4.8023E-1	6.5711E-1	-3.7800E+2
4.8047E-1	6.5760E-1	1.4300E+2
4.8070E-1	6.5541E-1	-2.4200E+2
4.8105E-1	6.5711E-1	-5.6300E+2
4.8129E-1	6.5444E-1	4.4600E+2
4.8164E-1	6.5395E-1	-2.6000E+2
4.8188E-1	6.5541E-1	-3.3100E+2
4.8211E-1	6.5177E-1	-5.5000E+2
4.8247E-1	6.5177E-1	-1.6800E+2
4.8270E-1	6.5298E-1	-3.5900E+2
4.8305E-1	6.5419E-1	7.5000E+1
4.8329E-1	6.5347E-1	-1.1180E+3
4.8352E-1	6.5274E-1	-3.7000E+2
4.8388E-1	6.5347E-1	-6.3100E+2
4.8411E-1	6.5104E-1	-6.2300E+2
4.8447E-1	6.5395E-1	-3.8700E+2
4.8470E-1	6.5128E-1	-3.7200E+2
4.8494E-1	6.5517E-1	-2.1600E+2
4.8529E-1	6.5347E-1	-6.0600E+2
