Aux out [V]	Aux in [V]	PDH out [a.u.]
-7.5457E-1	6.1265E-1	4.1400E+2
-7.5445E-1	6.0998E-1	-4.1500E+2
-7.5433E-1	6.1022E-1	4.2100E+2
-7.5421E-1	6.1022E-1	3.0300E+2
-7.5410E-1	6.0804E-1	7.8300E+2
-7.5398E-1	6.0707E-1	-4.1800E+2
-7.5386E-1	6.0828E-1	2.7900E+2
-7.5363E-1	6.0707E-1	1.1400E+2
-7.5351E-1	6.0634E-1	3.5100E+2
-7.5339E-1	6.0682E-1	-6.3600E+2
-7.5327E-1	6.0731E-1	4.0000E+1
-7.5316E-1	6.0561E-1	5.2300E+2
-7.5292E-1	6.0512E-1	5.2400E+2
-7.5280E-1	6.0439E-1	-1.4500E+2
-7.5269E-1	6.0512E-1	2.7100E+2
-7.5257E-1	6.0318E-1	1.0100E+2
-7.5245E-1	6.0269E-1	2.8000E+1
-7.5233E-1	6.0221E-1	5.4000E+1
-7.5210E-1	6.0415E-1	2.6900E+2
-7.5198E-1	6.0172E-1	1.9300E+2
-7.5186E-1	6.0099E-1	-6.1100E+2
-7.5174E-1	6.0002E-1	-2.6500E+2
-7.5163E-1	6.0269E-1	1.6400E+2
-7.5151E-1	6.0124E-1	1.8300E+2
-7.5127E-1	6.0026E-1	-5.6900E+2
-7.5116E-1	6.0075E-1	3.8900E+2
-7.5104E-1	6.0051E-1	2.5800E+2
-7.5092E-1	5.9978E-1	-1.3700E+2
-7.5080E-1	5.9905E-1	1.0500E+2
-7.5069E-1	5.9783E-1	5.8900E+2
-7.5045E-1	5.9832E-1	-7.2000E+1
-7.5033E-1	5.9856E-1	4.4600E+2
-7.5021E-1	5.9662E-1	-2.5300E+2
-7.5010E-1	5.9759E-1	3.7700E+2
-7.4998E-1	5.9686E-1	4.6000E+2
-7.4986E-1	5.9759E-1	3.2700E+2
-7.4963E-1	5.9468E-1	2.7900E+2
-7.4951E-1	5.9516E-1	4.6700E+2
-7.4939E-1	5.9419E-1	6.9700E+2
-7.4927E-1	5.9662E-1	-1.2600E+2
-7.4916E-1	5.9516E-1	1.5400E+2
-7.4904E-1	5.9589E-1	3.0400E+2
-7.4880E-1	5.9468E-1	-2.5400E+2
-7.4869E-1	5.9298E-1	1.0660E+3
-7.4857E-1	5.9395E-1	-4.0800E+2
-7.4845E-1	5.9200E-1	-4.9500E+2
-7.4833E-1	5.9346E-1	3.3400E+2
-7.4821E-1	5.9273E-1	2.0900E+2
-7.4798E-1	5.9370E-1	1.1100E+2
-7.4786E-1	5.9249E-1	1.8000E+1
-7.4774E-1	5.9127E-1	1.8200E+2
-7.4763E-1	5.9200E-1	-1.2000E+1
-7.4751E-1	5.9103E-1	2.4600E+2
-7.4739E-1	5.9079E-1	5.1000E+1
-7.4716E-1	5.9030E-1	-1.1000E+1
-7.4704E-1	5.9079E-1	2.2300E+2
