Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.4,
Horizontal Delay,0,
Sample Interval,0.004,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.5
Vertical Position,0,-1.98
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.400e-01,1.04,0.97
-1.360e-01,1.12,0.93
-1.320e-01,1.12,0.95
-1.280e-01,1.12,0.95
-1.240e-01,1.12,0.91
-1.200e-01,1.2,0.91
-1.160e-01,1.2,0.91
-1.120e-01,1.12,0.87
-1.080e-01,1.2,0.87
-1.040e-01,1.28,0.87
-1.000e-01,1.28,0.85
-9.600e-02,1.28,0.83
-9.200e-02,1.28,0.81
-8.800e-02,1.44,0.81
-8.400e-02,1.28,0.77
-8.000e-02,1.36,0.79
-7.600e-02,1.28,0.75
-7.200e-02,1.36,0.73
-6.800e-02,1.28,0.71
-6.400e-02,1.36,0.71
-6.000e-02,1.44,0.67
-5.600e-02,1.44,0.65
-5.200e-02,1.44,0.65
-4.800e-02,1.44,0.61
-4.400e-02,1.52,0.61
-4.000e-02,1.6,0.61
-3.600e-02,1.52,0.57
-3.200e-02,1.6,0.55
-2.800e-02,1.52,0.55
-2.400e-02,1.52,0.49
-2.000e-02,1.68,0.47
-1.600e-02,1.6,0.47
-1.200e-02,1.6,0.43
-8.000e-03,1.6,0.45
-4.000e-03,1.68,0.41
2.000e-15,1.68,0.39
4.000e-03,1.76,0.37
8.000e-03,1.76,0.37
1.200e-02,1.76,0.35
1.600e-02,1.84,0.33
2.000e-02,1.84,0.33
2.400e-02,1.84,0.31
2.800e-02,1.84,0.31
3.200e-02,1.84,0.29
3.600e-02,2,0.27
4.000e-02,1.92,0.27
4.400e-02,1.84,0.27
4.800e-02,1.92,0.25
5.200e-02,1.92,0.25
5.600e-02,1.92,0.25
6.000e-02,1.92,0.23
6.400e-02,1.92,0.23
6.800e-02,1.92,0.23
7.200e-02,2.08,0.23
7.600e-02,2.08,0.23
8.000e-02,2.24,0.23
8.400e-02,2.08,0.19
8.800e-02,2.16,0.21
9.200e-02,2.16,0.21
9.600e-02,2.08,0.21
1.000e-01,2.08,0.21
1.040e-01,2.24,0.23
1.080e-01,2.16,0.21
1.120e-01,2.24,0.23
1.160e-01,2.24,0.21
1.200e-01,2.24,0.23
1.240e-01,2.24,0.21
