Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.2,
Horizontal Delay,0,
Sample Interval,0.002,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,0.2
Vertical Position,0,-5
,,
,,
,,
Label,,
TIME,CH1,CH2
-1.220e-01,5.47906,1.12916
-1.200e-01,5.47031,1.12831
-1.180e-01,5.45875,1.12816
-1.160e-01,5.44562,1.12894
-1.140e-01,5.43562,1.12931
-1.120e-01,5.42844,1.12875
-1.100e-01,5.41625,1.12841
-1.080e-01,5.40813,1.12841
-1.060e-01,5.39844,1.12938
-1.040e-01,5.38563,1.12969
-1.020e-01,5.37469,1.12906
-1.000e-01,5.3625,1.12853
-9.800e-02,5.35313,1.12894
-9.600e-02,5.34063,1.12994
-9.400e-02,5.33125,1.13088
-9.200e-02,5.32188,1.13081
-9.000e-02,5.3125,1.13025
-8.800e-02,5.30187,1.13041
-8.600e-02,5.2925,1.13128
-8.400e-02,5.2825,1.13187
-8.200e-02,5.27438,1.13175
-8.000e-02,5.26313,1.13144
-7.800e-02,5.25375,1.13203
-7.600e-02,5.24125,1.13319
-7.400e-02,5.23125,1.13406
-7.200e-02,5.22031,1.13437
-7.000e-02,5.21312,1.13369
-6.800e-02,5.20375,1.13459
-6.600e-02,5.19219,1.13606
-6.400e-02,5.18063,1.13703
-6.200e-02,5.1725,1.13703
-6.000e-02,5.1625,1.13703
-5.800e-02,5.15188,1.13734
-5.600e-02,5.14219,1.13944
-5.400e-02,5.13094,1.14013
-5.200e-02,5.12281,1.14066
-5.000e-02,5.1175,1.14084
-4.800e-02,5.10969,1.14169
-4.600e-02,5.10438,1.14322
-4.400e-02,5.0975,1.14387
-4.200e-02,5.08969,1.14403
-4.000e-02,5.08406,1.14409
-3.800e-02,5.07563,1.14478
-3.600e-02,5.06594,1.14641
-3.400e-02,5.05531,1.14791
-3.200e-02,5.04594,1.14853
-3.000e-02,5.035,1.14897
-2.800e-02,5.02656,1.14969
-2.600e-02,5.01781,1.15147
-2.400e-02,5.00938,1.15234
-2.200e-02,4.99937,1.15297
-2.000e-02,4.99063,1.15381
-1.800e-02,4.98125,1.15497
-1.600e-02,4.97125,1.15738
-1.400e-02,4.95812,1.15872
-1.200e-02,4.94781,1.15978
-1.000e-02,4.93844,1.15966
-8.000e-03,4.92781,1.16128
-6.000e-03,4.91688,1.16331
-4.000e-03,4.90688,1.165
-2.000e-03,4.89594,1.16578
1.000e-15,4.88594,1.16587
2.000e-03,4.87812,1.16697
4.000e-03,4.86719,1.16859
6.000e-03,4.85625,1.16997
8.000e-03,4.84625,1.17063
1.000e-02,4.83656,1.17106
1.200e-02,4.82688,1.17231
1.400e-02,4.81594,1.17441
1.600e-02,4.80313,1.17544
1.800e-02,4.79156,1.17637
2.000e-02,4.78219,1.17653
2.200e-02,4.77469,1.17778
2.400e-02,4.76281,1.18009
2.600e-02,4.75281,1.18172
2.800e-02,4.74437,1.18241
3.000e-02,4.73344,1.18256
3.200e-02,4.72187,1.18359
3.400e-02,4.71156,1.18516
3.600e-02,4.70063,1.18703
3.800e-02,4.68969,1.18781
4.000e-02,4.67906,1.18903
4.200e-02,4.66938,1.18981
4.400e-02,4.65656,1.192
4.600e-02,4.64625,1.19331
4.800e-02,4.63781,1.19425
5.000e-02,4.6275,1.19403
5.200e-02,4.61437,1.19556
5.400e-02,4.60406,1.19687
5.600e-02,4.59094,1.19891
5.800e-02,4.58094,1.19947
6.000e-02,4.57219,1.19959
6.200e-02,4.5625,1.20084
6.400e-02,4.55219,1.20197
6.600e-02,4.54344,1.2035
6.800e-02,4.53281,1.20412
7.000e-02,4.51875,1.20466
7.200e-02,4.50719,1.20553
7.400e-02,4.49563,1.20709
