Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,0.4,
Horizontal Delay,0,
Sample Interval,0.004,
Record Length,1000,
Gating,0.1% to 100.0%,
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,2,2
Vertical Position,0,-1.98
,,
,,
,,
Label,,
TIME,CH1,CH2
8.400e-02,1.84,2.84
8.800e-02,1.84,2.76
9.200e-02,1.84,2.6
9.600e-02,1.92,2.44
1.000e-01,1.76,2.44
1.040e-01,1.84,2.28
1.080e-01,1.76,2.2
1.120e-01,1.84,2.2
1.160e-01,1.76,2.2
1.200e-01,1.76,2.28
1.240e-01,1.68,2.12
1.280e-01,1.68,2.04
1.320e-01,1.68,2.04
1.360e-01,1.68,1.88
1.400e-01,1.6,1.72
1.440e-01,1.6,1.56
1.480e-01,1.6,1.56
1.520e-01,1.68,1.48
1.560e-01,1.6,1.56
1.600e-01,1.52,1.56
1.640e-01,1.52,1.48
1.680e-01,1.44,1.64
1.720e-01,1.52,1.64
1.760e-01,1.52,1.64
1.800e-01,1.44,1.56
1.840e-01,1.44,1.48
1.880e-01,1.36,1.48
1.920e-01,1.44,1.64
1.960e-01,1.44,1.48
2.000e-01,1.36,1.32
2.040e-01,1.28,1.24
2.080e-01,1.36,1.24
2.120e-01,1.28,1.24
2.160e-01,1.28,1.32
2.200e-01,1.28,1.24
2.240e-01,1.2,1.24
2.280e-01,1.28,1.24
2.320e-01,1.36,1.32
2.360e-01,1.12,1.32
2.400e-01,1.28,1.4
2.440e-01,1.2,1.48
2.480e-01,1.12,1.48
2.520e-01,1.12,1.48
2.560e-01,1.2,1.48
2.600e-01,1.2,1.48
2.640e-01,1.12,1.56
2.680e-01,1.04,1.56
2.720e-01,1.04,1.56
2.760e-01,1.12,1.56
2.800e-01,1.04,1.64
2.840e-01,1.04,1.64
2.880e-01,0.96,1.72
2.920e-01,0.96,1.64
2.960e-01,1.04,1.56
3.000e-01,0.8,1.56
3.040e-01,0.96,1.64
3.080e-01,0.96,1.64
3.120e-01,0.88,1.56
3.160e-01,0.8,1.72
3.200e-01,0.88,1.64
3.240e-01,0.72,1.8
3.280e-01,0.72,1.88
3.320e-01,0.72,1.88
3.360e-01,0.8,1.88
3.400e-01,0.64,1.96
3.440e-01,0.72,2.28
3.480e-01,0.72,2.36
3.520e-01,0.72,2.2
3.560e-01,0.72,2.12
3.600e-01,0.56,2.28
3.640e-01,0.64,2.52
3.680e-01,0.64,2.52
3.720e-01,0.56,2.52
3.760e-01,0.64,2.68
3.800e-01,0.64,2.68
3.840e-01,0.56,3
3.880e-01,0.48,3
3.920e-01,0.4,3.24
3.960e-01,0.56,3.4
4.000e-01,0.4,3.48
4.040e-01,0.4,3.48
4.080e-01,0.4,3.64
4.120e-01,0.4,3.8
4.160e-01,0.4,3.8
4.200e-01,0.48,3.88
4.240e-01,0.48,3.88
4.280e-01,0.32,3.96
4.320e-01,0.24,4.04
4.360e-01,0.24,4.04
4.400e-01,0.24,3.96
4.440e-01,0.24,3.96
4.480e-01,0.32,4.04
4.520e-01,0.24,4.12
4.560e-01,0.24,4.04
4.600e-01,0.24,4.04
4.640e-01,0.16,3.96
4.680e-01,0.16,3.88
4.720e-01,0.16,3.88
4.760e-01,0.16,3.96
4.800e-01,0.08,4.68
4.840e-01,0,4.84
4.880e-01,0.08,4.68
4.920e-01,0.08,4.28
4.960e-01,0,4.84
5.000e-01,0.08,5
5.040e-01,0,4.92
5.080e-01,0,3.96
5.120e-01,0,3.72
5.160e-01,-0.08,3.72
5.200e-01,0,3.88
5.240e-01,0.08,3.64
5.280e-01,0,3.72
5.320e-01,0.08,3.72
5.360e-01,0,3.8
5.400e-01,0,4.12
5.440e-01,0,3.96
5.480e-01,0.08,3.88
5.520e-01,0.08,4.44
5.560e-01,0.16,5.24
5.600e-01,0.16,5.24
5.640e-01,0.16,5.16
5.680e-01,0.24,5.16
5.720e-01,0.16,5.16
5.760e-01,0.16,5.16
5.800e-01,0.16,5
5.840e-01,0.24,4.76
5.880e-01,0.24,3.8
5.920e-01,0.32,3.88
5.960e-01,0.24,3.88
6.000e-01,0.32,3.96
6.040e-01,0.32,4.12
6.080e-01,0.32,4.12
6.120e-01,0.32,4.04
6.160e-01,0.4,3.96
6.200e-01,0.32,4.04
6.240e-01,0.4,4.04
6.280e-01,0.48,3.96
6.320e-01,0.48,3.88
6.360e-01,0.4,3.88
6.400e-01,0.48,3.8
6.440e-01,0.48,3.72
6.480e-01,0.48,3.8
6.520e-01,0.56,3.64
6.560e-01,0.56,3.64
6.600e-01,0.56,3.64
6.640e-01,0.56,3.48
6.680e-01,0.56,3.48
6.720e-01,0.64,3.24
6.760e-01,0.72,3.08
6.800e-01,0.64,2.84
6.840e-01,0.64,2.76
