time	CH1	CH2
4.30E-01	2.47063	1.44691
4.32E-01	2.46281	1.45281
4.34E-01	2.45438	1.45809
4.36E-01	2.44781	1.46228
4.38E-01	2.43781	1.46728
4.40E-01	2.42844	1.47281
4.42E-01	2.41906	1.47778
4.44E-01	2.4075	1.48159
4.46E-01	2.39594	1.48506
4.48E-01	2.3875	1.48903
4.50E-01	2.37406	1.49347
4.52E-01	2.36063	1.49784
4.54E-01	2.34938	1.50053
4.56E-01	2.33969	1.50241
4.58E-01	2.33125	1.50406
4.60E-01	2.32219	1.50653
4.62E-01	2.31188	1.50816
4.64E-01	2.3025	1.50897
4.66E-01	2.29219	1.50925
4.68E-01	2.28094	1.50966
4.70E-01	2.26969	1.51028
4.72E-01	2.25813	1.51072
4.74E-01	2.25031	1.51019
4.76E-01	2.24125	1.50925
4.78E-01	2.23156	1.50816
4.80E-01	2.22313	1.50762
4.82E-01	2.21062	1.50669
4.84E-01	2.20156	1.50469
4.86E-01	2.19063	1.50178
4.88E-01	2.17656	1.49962
4.90E-01	2.16469	1.49744
4.92E-01	2.15313	1.49513
4.94E-01	2.14375	1.49122
4.96E-01	2.13313	1.48756
4.98E-01	2.12	1.48397
5.00E-01	2.10969	1.48125
5.02E-01	2.09938	1.47778
5.04E-01	2.09	1.47341
5.06E-01	2.08094	1.4675
5.08E-01	2.0675	1.46316
5.10E-01	2.0575	1.45997
5.12E-01	2.04438	1.45622
5.14E-01	2.03437	1.45166
5.16E-01	2.02406	1.44619
5.18E-01	2.01344	1.44116
5.20E-01	2.00312	1.43703
5.22E-01	1.99281	1.43275
5.24E-01	1.98375	1.42794
5.26E-01	1.97281	1.42309
5.28E-01	1.9625	1.41859
5.30E-01	1.94969	1.41456
5.32E-01	1.93938	1.41025
5.34E-01	1.92688	1.40563
5.36E-01	1.91594	1.40094
5.38E-01	1.9075	1.39675
5.40E-01	1.89656	1.39387
5.42E-01	1.88438	1.39003
5.44E-01	1.87469	1.38638
5.46E-01	1.86531	1.38266
5.48E-01	1.85625	1.38016
5.50E-01	1.84313	1.37753
5.52E-01	1.83219	1.37584
5.54E-01	1.8225	1.37294
5.56E-01	1.81188	1.37069
5.58E-01	1.79875	1.36803
5.60E-01	1.78844	1.36741
5.62E-01	1.7775	1.36666
5.64E-01	1.76687	1.3655
5.66E-01	1.75812	1.36409
5.68E-01	1.74812	1.36347
5.70E-01	1.73781	1.36431
5.72E-01	1.72625	1.36563
5.74E-01	1.71719	1.36587
5.76E-01	1.7075	1.36688
5.78E-01	1.69656	1.36837
5.80E-01	1.68344	1.37106
5.82E-01	1.67344	1.37387
5.84E-01	1.66469	1.37566
5.86E-01	1.65187	1.37784
5.88E-01	1.64219	1.38081
