Model,MDO3024
Firmware Version,1.26

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.4
Horizontal Delay,0
Sample Interval,0.004
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,0
,
,
,
Label,
TIME,REF1
5.600e-01,4.69375
5.640e-01,4.68375
5.680e-01,4.67188
5.720e-01,4.66125
5.760e-01,4.65
5.800e-01,4.6375
5.840e-01,4.63
5.880e-01,4.61906
5.920e-01,4.60875
5.960e-01,4.59813
6.000e-01,4.58625
6.040e-01,4.57781
6.080e-01,4.56844
6.120e-01,4.55625
6.160e-01,4.54594
6.200e-01,4.5375
6.240e-01,4.52656
6.280e-01,4.51187
6.320e-01,4.50469
6.360e-01,4.49531
6.400e-01,4.48594
6.440e-01,4.47594
6.480e-01,4.46563
6.520e-01,4.45437
6.560e-01,4.4425
6.600e-01,4.43313
6.640e-01,4.42406
6.680e-01,4.41531
6.720e-01,4.40437
6.760e-01,4.39281
6.800e-01,4.38094
6.840e-01,4.37
6.880e-01,4.35469
6.920e-01,4.34625
6.960e-01,4.33531
7.000e-01,4.3275
7.040e-01,4.31594
7.080e-01,4.30469
7.120e-01,4.29469
7.160e-01,4.28375
7.200e-01,4.27469
7.240e-01,4.26438
7.280e-01,4.25281
7.320e-01,4.24281
7.360e-01,4.23156
7.400e-01,4.22094
7.440e-01,4.21219
7.480e-01,4.19969
7.520e-01,4.1875
7.560e-01,4.17875
7.600e-01,4.16656
7.640e-01,4.15656
7.680e-01,4.14406
7.720e-01,4.13438
7.760e-01,4.12219
7.800e-01,4.11062
7.840e-01,4.09813
7.880e-01,4.08625
7.920e-01,4.07781
7.960e-01,4.06625
8.000e-01,4.05687
8.040e-01,4.0475
8.080e-01,4.03563
8.120e-01,4.02719
8.160e-01,4.01781
8.200e-01,4.00781
8.240e-01,3.99844
8.280e-01,3.98687
8.320e-01,3.9775
8.360e-01,3.96719
8.400e-01,3.955
8.440e-01,3.94406
8.480e-01,3.93063
8.520e-01,3.91938
8.560e-01,3.91
8.600e-01,3.89719
8.640e-01,3.88719
8.680e-01,3.875
8.720e-01,3.86531
8.760e-01,3.85406
8.800e-01,3.84531
8.840e-01,3.83688
8.880e-01,3.82531
8.920e-01,3.8175
8.960e-01,3.80656
9.000e-01,3.79625
9.040e-01,3.78688
9.080e-01,3.77687
9.120e-01,3.76531
9.160e-01,3.75531
9.200e-01,3.74656
9.240e-01,3.73781
9.280e-01,3.72781
9.320e-01,3.71687
9.360e-01,3.70844
9.400e-01,3.695
9.440e-01,3.68531
9.480e-01,3.67406
9.520e-01,3.66344
9.560e-01,3.65156
9.600e-01,3.64
9.640e-01,3.62844
9.680e-01,3.61969
9.720e-01,3.6075
9.760e-01,3.59719
9.800e-01,3.58625
9.840e-01,3.57875
9.880e-01,3.5675
9.920e-01,3.55688
9.960e-01,3.54906
1.000e+00,3.53906
1.004e+00,3.52969
1.008e+00,3.51781
1.012e+00,3.50781
1.016e+00,3.49844
1.020e+00,3.48781
1.024e+00,3.47594
1.028e+00,3.46281
1.032e+00,3.45594
1.036e+00,3.44625
1.040e+00,3.43562
1.044e+00,3.42219
1.048e+00,3.41125
1.052e+00,3.39875
1.056e+00,3.38656
1.060e+00,3.37562
1.064e+00,3.36625
1.068e+00,3.35406
1.072e+00,3.34469
1.076e+00,3.33594
1.080e+00,3.32531
1.084e+00,3.31594
1.088e+00,3.30469
1.092e+00,3.29469
1.096e+00,3.28094
1.100e+00,3.27281
1.104e+00,3.26438
1.108e+00,3.25031
1.112e+00,3.24094
1.116e+00,3.22938
1.120e+00,3.21719
1.124e+00,3.20938
1.128e+00,3.19687
1.132e+00,3.18656
1.136e+00,3.17437
1.140e+00,3.16406
1.144e+00,3.15563
1.148e+00,3.14312
1.152e+00,3.13437
1.156e+00,3.12281
1.160e+00,3.11187
1.164e+00,3.09969
1.168e+00,3.08875
1.172e+00,3.08
1.176e+00,3.0675
1.180e+00,3.05781
1.184e+00,3.05
1.188e+00,3.03969
1.192e+00,3.02937
1.196e+00,3.01969
1.200e+00,3.00781
1.204e+00,2.99781
1.208e+00,2.98594
1.212e+00,2.97438
1.216e+00,2.96437
1.220e+00,2.95406
1.224e+00,2.945
1.228e+00,2.93156
1.232e+00,2.92313
1.236e+00,2.91281
1.240e+00,2.90219
1.244e+00,2.8925
1.248e+00,2.87781
1.252e+00,2.86781
1.256e+00,2.85906
1.260e+00,2.84844
1.264e+00,2.83656
1.268e+00,2.82656
1.272e+00,2.81406
1.276e+00,2.80094
1.280e+00,2.79
1.284e+00,2.78219
1.288e+00,2.77156
1.292e+00,2.76219
1.296e+00,2.75219
1.300e+00,2.7425
1.304e+00,2.73313
